abandon,버리다; 포기하다
transfer,옮기다; 전송하다
transform,변형시키다; 바꾸다
transformation,변화; 변신
translate,번역하다
translation,번역
transmit,전달하다; 송신하다
transport,운송하다; 수송
transportation,교통; 운송
trap,덫; 함정; 가두다
travel,여행하다; 이동하다
traveler (traveller),여행자
tray,쟁반; 트레이
treasure,보물; 소중히 여기다
treat,대하다; 취급하다; 대접하다
treatment,치료; 대우
tree,나무
tremble,떨다; 전율하다
trend,추세; 경향
trial,재판; 시도
triangle,삼각형
tribe,부족; 종족
trick,속임수; 기술
trigger,방아쇠; 유발하다
trim,다듬다; 장식하다
trip,여행; 걸려 넘어지다
triumph,승리; 대성공
troop,군대; 무리
tropical,열대의
trouble,문제; 곤란; 괴롭히다
truck,트럭
true,진짜의; 참된
trust,신뢰; 믿다
truth,진실
try,시도하다
tub,통; 욕조
tube,관; 튜브
tune,곡; 조율하다
tunnel,터널
turn,돌다; 바꾸다; 차례
turning,회전; 전환점
tutor,가정교사; 지도교사
twenty,스무
twice,두 번; 두 배로
twin,쌍둥이
twist,비틀다; 꼬다
two,둘
type,유형; 종류; 타이프 치다
typical,전형적인; 일반적인
ugly,못생긴; 추한
ultimate,궁극적인; 최후의
umbrella,우산
unable,~할 수 없는
uncertain,불확실한; 확신이 없는
uncle,삼촌; 외삼촌
under,~아래에; 부족한
undergo,겪다; 경험하다
undergraduate,학부생
underground,지하의; 지하철
underline,밑줄을 긋다
understand,이해하다
understanding,이해; 합의
undertake,떠맡다; 착수하다
undo,되돌리다
unexpected,예상치 못한
unfair,불공평한
unfortunate,불운한; 유감스러운
unhappy,불행한; 기분 나쁜
uniform,제복; 균일한
union,노동조합; 연합
unique,독특한; 유일한
unit,단위; 구성 단위
unite,통합하다; 결합하다
unity,통일; 조화
universal,보편적인; 전 세계의
universe,우주
university,대학교
unknown,알려지지 않은; 미지의
unless,~하지 않는 한
unlike,~와 달리; 같지 않은
unlikely,있을 법하지 않은
unlock,잠금을 해제하다
until,~할 때까지
unusual,이례적인; 드문
up,위로; 증가하여
update,업데이트하다; 갱신하다
upgrade,향상시키다; 등급을 올리다
uphill,오르막; 힘든
upon,~위에; ~하자마자
upper,위쪽의; 상부의
upset,화난; 뒤집다; 당황하게 하다
upstairs,위층에; 위층으로
urban,도시의
urge,촉구하다; 강한 욕구
urgent,긴급한; 시급한
us,우리
use,사용하다; 용도
used,익숙한(to); 중고의
useful,유용한
useless,쓸모없는
user,사용자
usual,보통의; 평상시의
usually,보통; 대개
utility,유용성; 공공요금
vacation,휴가
vague,모호한; 애매한
valley,계곡; 골짜기
valuable,가치 있는; 귀중한
value,가치; 평가하다
van,승합차; 밴
vanish,사라지다; 소멸하다
vapor (vapour),증기; 수증기
variety,다양성; 여러 가지
various,다양한
vary,달라지다; 변화하다
vast,광대한; 거대한
vegetable,채소; 야채
vehicle,차량; 운송 수단
veil,면사포; 베일; 가리다
vein,정맥; 혈관
velocity,속도; 속력
velvet,벨벳
venture,모험; 도전; 벤처 사업
verb,동사
version,버전; 판
vertical,수직의
very,매우; 정말
vessel,선박; 그릇; 혈관
veteran,베테랑; 참전 군인
victim,희생자
victory,승리
video,비디오; 영상
view,견해; 풍경; 보다
viewer,시청자
village,마을
vine,덩굴; 포도나무
violence,폭력
violent,폭력적인; 격렬한
violet,보라색; 제비꽃
violin,바이올린
virtual,가상의; 사실상의
virtue,미덕; 장점
virus,바이러스
visible,보이는; 명백한
vision,시야; 비전
visit,방문하다; 방문
visitor,방문객; 손님
visual,시각의; 시각적인
vital,매우 중요한; 필수적인
vitamin,비타민
vivid,생생한; 선명한
vocabulary,어휘; 단어 목록
voice,목소리; 의견
volume,양; 음량; 권(책)
voluntary,자발적인
volunteer,자원봉사자; 자원하다
vote,투표하다; 표
vowel,모음
voyage,항해; 여행
wage,임금; 급료
wagon,짐마차; 왜건
waist,허리
wait,기다리다
waiter,웨이터
wake,깨다; 깨우다
walk,걷다; 산책
wall,벽
wallet,지갑
wander,배회하다; 돌아다니다
want,원하다
war,전쟁
warm,따뜻한
warmth,따뜻함
warn,경고하다
warning,경고
wash,씻다; 세탁하다
waste,낭비하다; 쓰레기
watch,보다; 지켜보다; 시계
water,물; 물을 주다
waterfall,폭포
wave,파도; 손짓하다
wax,밀랍; 왁스; 왁스를 바르다
way,방법; 길
we,우리
weak,약한
weakness,약점; 결점
wealth,부; 재산
weapon,무기
wear,입다; 닳다
weather,날씨
weave,짜다; 엮다
web,거미줄; 웹
wedding,결혼식
Wednesday,수요일
weed,잡초; 잡초를 뽑다
week,주(週)
weekday,평일
weekend,주말
weep,울다
weight,무게; 체중
weird,이상한; 기이한
welcome,환영하다; 환영
welfare,복지; 행복
well,잘; 건강한; 우물
west,서쪽
western,서부의; 서양식의
wet,젖은; 습한
whale,고래
what,무엇; 어떤
whatever,무엇이든; 어떤 것이든
wheat,밀
wheel,바퀴; 핸들
when,언제; ~할 때
whenever,언제든지
where,어디에
whereas,반면에
wherever,어디든지
whether,~인지 아닌지
which,어느; 어떤
while,동안; ~하는 동안
whisper,속삭이다; 속삭임
whistle,휘파람; 호각
white,흰색; 하얀
who,누구
whole,전체의; 온전한
whom,누구를
whose,누구의
why,왜
wicked,사악한; 못된
wide,넓은
widely,널리
widen,넓히다
width,너비; 폭
wife,아내
wild,야생의; 거친
will,~할 것이다; 의지; 유언
willing,기꺼이 하는; 자발적인
win,이기다; 얻다
wind,바람; 감다(wind-wound-wound)
window,창문
wine,포도주; 와인
wing,날개
winner,승리자; 수상자
winter,겨울
wipe,닦다; 훔치다
wire,철사; 전선
wisdom,지혜
wise,현명한
wish,바라다; 소원
wit,재치; 재담
with,~와 함께
within,~안에; ~이내에
without,~없이
witness,증인; 목격하다
wolf,늑대
woman,여자
wonder,궁금해하다; 경탄하다
wonderful,멋진; 훌륭한
wood,나무; 목재; 숲
wooden,나무로 만든
wool,양털; 털실
word,단어; 말
work,일하다; 작업
worker,노동자; 일하는 사람
workshop,작업장; 워크숍
world,세계; 세상
worldwide,전 세계적인
worm,벌레; 지렁이
worry,걱정하다; 걱정
worse,더 나쁜
worship,예배하다; 숭배하다
worst,최악의
worth,가치가 있는; ~할 만한
worthy,가치 있는; 훌륭한
wound,상처; 부상; 상처 입히다
wrap,싸다; 포장하다
wreck,난파; 파괴하다
wrist,손목
write,쓰다
writer,작가
writing,글쓰기; 글
wrong,잘못된; 틀린
yard,마당; 거리 단위(야드)
yawn,하품하다; 하품
year,년; 해
yearly,해마다; 매년의
yell,소리치다; 고함치다
yellow,노란색; 노란
yes,예; 네
yesterday,어제
yet,아직; 그러나
yield,산출하다; 양보하다
young,어린; 젊은
youth,청년; 젊음
zero,영; 0
zebra,얼룩말
zone,구역; 지역
zoo,동물원
zoom,확대하다; 급속히 움직이다
abolish,폐지하다; 없애다
absorb,흡수하다; 받아들이다
abstract,추상적인; 초록(논문 요약)
absurd,터무니없는; 불합리한
abundant,풍부한
academy,학원; 학술기관
accelerate,가속하다
accent,억양; 악센트
acceptable,받아들일 수 있는
acceptance,수락; 인정
accessible,접근 가능한
accidental,우연한
accommodate,수용하다; 숙박시키다
accompany,동반하다; 함께하다
accomplish,성취하다; 완수하다
accord,일치하다; 합의
accountant,회계사
accumulate,축적하다; 모으다
accuracy,정확성
accurate,정확한
accuse,비난하다; 고발하다
acid,산(화학); 신맛의
acknowledge,인정하다; 감사를 표하다
acquire,획득하다; 배우다
acre,에이커(면적 단위)
activate,작동시키다; 활성화하다
actual,실제의
acute,예리한; 급성의
adaptation,적응; 개조
addiction,중독
addictive,중독성 있는
adequate,충분한; 적절한
adhere,고수하다; 들러붙다
adjacent,인접한
adjustment,조정; 적응
administer,관리하다; 집행하다
admiration,감탄; 존경
admission,입장; 입학; 인정
adolescent,청소년
adoption,입양; 채택
adore,사랑하다; 숭배하다
advent,도래; 출현
adverse,부정적인; 불리한
advocate,옹호하다; 지지자
aerobic,유산소의
aesthetic,미학의; 심미적인
affection,애정; 호의
affirm,단언하다; 확인하다
afford,감당하다; ~할 여유가 있다
agenda,안건; 의제
aggression,공격; 공격성
aggressive,공격적인; 적극적인
agony,고통; 괴로움
agricultural,농업의
aid,도움; 지원하다
ailment,질병; 불쾌
alert,경계하는; 경고하다; 경보
alien,외계인; 이방인; 이질적인
align,정렬하다; 일직선으로 맞추다
alike,비슷한; 서로 같은
allegation,혐의; 주장
allege,주장하다; 단언하다
allocate,할당하다; 배분하다
allowance,용돈; 수당; 허용량
ally,동맹국; 협력자; 동맹하다
alteration,변경; 수정
alternate,번갈아 하다; 대체하는
altitude,고도; 높이
aluminium (aluminum),알루미늄
amateur,아마추어; 비전문가
amend,수정하다; 고치다
amendment,수정; 개정
amid,~의 한가운데에; ~속에서
amuse,즐겁게 하다
analogy,유사; 비유
analyse (analyze),분석하다
ancestor,조상
anchor,닻; 고정시키다; 앵커
angel,천사
angle,각도; 관점
animation,애니메이션; 생기
ankle,발목
anniversary,기념일
anonymous,익명의
anticipate,예상하다; 기대하다
anxiety,불안; 걱정
anxious,걱정하는; 열망하는
apology,사과
apparatus,기구; 장치
appeal,호소하다; 매력
appetite,식욕; 욕구
applaud,박수 치다
applicable,적용 가능한
appoint,임명하다; 지정하다
appointment,약속; 임명
appreciate,감사하다; 감상하다
approach,접근하다; 접근 방식
appropriate,적절한; 도용하다
approval,승인; 찬성
apt,적절한; ~하기 쉬운
arc,호; 아치형
arch,아치; 궁전
architectural,건축의
archive,기록 보관소; 아카이브
arena,경기장; 무대
armor (armour),갑옷; 방어구
aroma,향기; 향내
array,배열; 진열
arrogant,오만한; 거만한
arsenal,무기고; 축적
artery,동맥
articulate,분명히 표현하다; 명확한
artifact (artefact),유물; 인공물
artificial,인공의
artillery,대포; 포병
asleep,잠든
aspect,측면; 양상
aspire,열망하다; 바라다
assembly,조립; 집회
assert,주장하다; 단언하다
assessment,평가
asset,자산
assign,할당하다; 배정하다
assist,돕다; 지원하다
assistant,조수; 보조자
associate,연관짓다; 동료
association,협회; 연관성
assurance,보증; 확신
astonish,놀라게 하다
astonishing,놀라운
astounding,엄청난; 깜짝 놀랄
athletic,운동의; 체육의
atlas,지도책; 아틀라스
atom,원자
atomic,원자의; 핵의
attachment,부착물; 애착
attain,달성하다; 획득하다
attempt,시도하다; 시도
attendance,출석; 참석
attention,주의; 관심
attentive,주의 깊은; 세심한
attitude,태도; 자세
attorney,변호사
auction,경매
audit,감사; 심사하다
auditor,감사관; 심사위원
augment,증가시키다; 확장하다
authentic,진짜의; 진품의
authorize,허가하다; 승인하다
autograph,사인이 적힌 것; 사인하다
autonomy,자치; 자율성
availability,이용 가능성
avenue,가로수길; (도시의) 큰길
average,평균; 보통의
aviation,항공; 비행
avid,열렬한; 열광적인
avoidance,회피; 기피
await,기다리다
awaiting,기다리는
award,상; 수여하다
aware,알고 있는; 인식하는
awareness,인식; 자각
awe,경외심; 두려움
awful,끔찍한; 지독한
awkward,어색한; 서투른
axis,축; 중심선
bachelor,학사; 미혼 남자
backbone,척추; 중추
backup,백업; 예비
badge,배지; 표시
baffle,당황하게 하다; 좌절시키다
baggage,수하물; 짐
balcony,발코니
ballet,발레
balloon,풍선; 부풀다
ban,금지하다; 금지
bandage,붕대; 붕대를 감다
bang,쾅 하는 소리; 세게 치다
bankruptcy,파산
banner,현수막; 배너
banquet,연회; 만찬
barrel,통; 배럴
barrier,장벽; 장애물
basement,지하실
basin,대야; 분지
battlefield,전장; 전투 현장
bay,만(灣); 짖다
beam,광선; 빛; 들보
beast,야수; 짐승
beetle,딱정벌레
beforehand,사전에; 미리
behalf,~을 대신하여
behave,행동하다
behavioral (behavioural),행동의; 행동학의
beloved,사랑받는; 사랑하는 사람
benchmark,기준점; 벤치마크
beneficial,유익한; 이로운
beneath,~아래에; 하위의
beside,~옆에
besides,게다가; ~외에
bestow,수여하다; 주다
betray,배신하다; 폭로하다
beverage,음료
bias,편견; 치우침
bid,입찰하다; 시도하다
billing,청구; 결제
billionaire,억만장자
biology,생물학
biotechnology,생명공학
birdwatching,조류 관찰
birthplace,출생지; 발상지
bizarre,기괴한; 이상한
bladder,방광
blade,칼날; 날개
blast,폭발; 돌풍
bleach,표백하다; 희게 만들다
bleed,피를 흘리다
blend,섞다; 혼합
bless,축복하다
blink,깜빡이다
blizzard,눈보라
bloody,피투성이의; 잔인한
bloom,꽃이 피다; 개화
blossom,꽃이 피다; 번영하다
blunt,무딘; 퉁명스러운
blush,얼굴이 붉어지다
boast,자랑하다; 뽐내다
bodyguard,경호원
boiler,보일러; 가열기
bold,대담한; 굵은 글씨
bolt,번개; 볼트; 달아나다
bond,유대; 채권; 결속
bonus,보너스; 상여
booklet,소책자
booth,부스; 칸막이
boost,증가시키다; 북돋우다
botanical,식물학의
botany,식물학
brace,보조기; 버팀대; 대비하다
bracket,괄호; 지지대
brag,자랑하다
brake,브레이크; 제동하다
branch,지점; 가지; 분야
brand-new,완전 새로운
bravery,용기
breach,위반; 침해
breakdown,고장; 붕괴; 분석
breakthrough,획기적 발전; 돌파구
breed,번식하다; 품종
brew,양조하다; 우려내다
bride,신부
bridegroom,신랑
briefcase,서류가방
brink,직전; 끝
brittle,부서지기 쉬운
broadcast,방송하다; 방송
brochure,안내 책자; 소책자
bronze,청동; 동메달
brutal,잔인한; 폭력적인
bubble,거품; 기포
bucket,양동이
buddy,친구; 동료
budge,움직이다; 태도를 바꾸다
budget,예산
buffalo,들소; 버팔로
bug,곤충; 벌레; 오류(버그)
bulb,전구; 구근
bulky,부피가 큰
bullet,탄환; 총알
bulletin,게시; 공고
bump,부딪치다; 충돌
bunch,다발; 묶음
bundle,묶음; 꾸러미
burden,부담; 짐
bureau,사무국; 기관; 서랍장
burglar,도둑; 침입자
burial,매장; 장례식
burst,터지다; 폭발하다
bush,덤불; 관목
butcher,정육점 주인; 도살하다
butler,집사
bypass,우회하다; 우회 도로
cabinet,내각; 장식장
cafeteria,구내식당; 카페테리아
calcium,칼슘
calf,송아지; 종아리
calorie,칼로리
campaign,캠페인; 운동
campus,대학 캠퍼스
canal,운하; 수로
canary,카나리아
cancer,암; 큰 문제
candid,솔직한; 숨김없는
candidate,후보자
cane,지팡이; 사탕수수
canoe,카누
canvas,캔버스; 화폭
capacitor,콘덴서; 축전기
capacity,용량; 수용력
capitalism,자본주의
capsule,캡슐; 작은 용기
captain,선장; 주장
caption,자막; 설명문
captive,포로; 사로잡힌
capture,붙잡다; 포획하다
carbon,탄소
cardboard,판지; 마분지
cardinal,기본적인; 가장 중요한
caregiver,간병인
caretaker,관리인; 돌보는 사람
cargo,화물; 짐
carpenter,목수
carriage,마차; 운반
carrier,운반자; 통신사; 항공사
carve,조각하다; 새기다
cascade,작은 폭포; 폭포처럼 흐르다
case,경우; 소송; 상자
cashier,계산원; 캐셔
cassette,카세트
casual,평상복의; 무심한; 우연한
casualty,사상자
catalog (catalogue),목록; 카탈로그
catastrophe,재앙; 큰 사고
catchy,귀에 쏙 들어오는
cater,음식을 제공하다; 요구를 충족시키다
caterpillar,애벌레
cautious,조심스러운; 신중한
cavity,구멍; 충치
cease,그만두다; 중지하다
celebrity,유명인; 스타
cellar,지하 저장고
cemetery,묘지; 공동묘지
census,인구 조사
ceramic,도자기; 세라믹
ceremonial,의식의; 예식의
ceremony,의식; 공식 행사
certainly,틀림없이; 확실히
certify,증명하다; 인증하다
chairperson,의장; 회장
chalk,분필
challenge,도전; 과제
chamber,방; 회의실; 공간
championship,선수권 대회
chaos,혼돈; 무질서
chapel,예배당
chapter,장(章); 구획
characteristic,특징; 특성
charcoal,숯; 목탄
charge,요금; 충전하다; 기소하다
charity,자선; 자비
charm,매력; 부적; 매혹시키다
chase,뒤쫓다; 추격
chat,채팅하다; 잡담
chauffeur,운전사
cheat,속이다; 부정행위하다
checklist,체크리스트
cheer,환호하다; 응원하다
chef,요리사
chemical,화학의; 화학 물질
chemist,화학자; 약사
cherish,소중히 여기다
chest,가슴; 상자; 흉부
chew,씹다
chief,우두머리; 주요한
chill,오한; 냉기; 식히다
chimney,굴뚝
chip,조각; 칩; 부스러기
chirp,짹짹 울다
chlorine,염소(화학)
chocolate,초콜릿
choice,선택; 선택권
choke,질식시키다
cholesterol,콜레스테롤
chorus,후렴; 합창단
cinema,영화관; 영화 산업
circle,원; 동그라미; 둘러싸다
circulate,순환하다; 유포하다
circumstance,상황; 환경
cite,인용하다; 언급하다
citizenship,시민권
civilization (civilisation),문명
claim,주장하다; 요구하다; 청구
clam,대합; 조개
clan,씨족; 집단
clash,충돌; 격돌
clasp,걸쇠; 꽉 잡다
classify,분류하다
claw,발톱; 갈고리 모양
clay,점토; 찰흙
cleanse,깨끗이 하다
clearance,정리; 허가; 여유 공간
cling,달라붙다; 고수하다
clinic,병원; 진료소
clinical,임상의; 냉정한
clip,클립; 자르다; 잘라낸 조각
cloak,망토; 숨기다
clockwise,시계 방향으로
clone,복제하다; 클론
closure,폐쇄; 마감
clothe,옷을 입히다
clothing,의류
cloudy,흐린; 구름 낀
clue,실마리; 단서
clutch,움켜잡다; 클러치
coal,석탄
coarse,거친; 조악한
coast,해안; 연안
coastal,해안의
coexist,공존하다
cognition,인식; 인지
cognitive,인지의
coil,감다; 코일
coincidence,우연의 일치
collaboration,협력; 공동 작업
collapse,붕괴하다; 무너지다
collar,칼라; 목걸이
colleague,동료
collective,집단적인; 공동의
collision,충돌
colonel,대령
colony,식민지; 군집
colorful,화려한; 다채로운
column,기둥; 칼럼; 세로열
combat,전투하다; 싸움
combination,결합; 조합
combine,결합하다; 합치다
comedy,코미디
comfort,편안함; 위로하다
comic,만화; 우스운
commander,사령관; 지휘관
commence,시작하다
commentary,해설; 논평
commerce,상업; 무역
commercial,상업의; 광고
commission,수수료; 위원회; 의뢰하다
commit,저지르다; 약속하다
commitment,헌신; 약속
commodity,상품; 원자재
commonplace,흔한; 평범한
communicate,의사소통하다
communicative,말을 잘하는; 의사소통의
communist,공산주의자; 공산주의의
commute,통근하다
compact,아주 작은; 촘촘한; 압축하다
comparable,비교할 만한
comparative,비교의; 상대적인
compassion,연민; 동정
compel,강요하다
compensate,보상하다
competence,능력; 역량
competent,유능한
competition,경쟁
competitor,경쟁자
compile,편집하다; 모으다
complain,불평하다
complement,보완하다; 보충물
completion,완료; 마침
complexity,복잡성
compliance,준수; 따름
complicate,복잡하게 만들다
complication,합병증; 복잡한 문제
compliment,칭찬; 칭찬하다
comply,따르다; 준수하다
component,구성 요소; 부품
compose,구성하다; 작곡하다
composer,작곡가
composite,합성의; 복합물
compound,혼합물; 합성하다
comprehend,이해하다
comprehensive,종합적인; 포괄적인
compress,압축하다
compromise,타협하다
compulsory,의무적인
compute,계산하다
conceal,숨기다; 감추다
concede,인정하다; 양보하다
conceive,상상하다; 생각하다
concentrate,집중하다
concentration,농도; 집중
conceptual,개념의
concerned,걱정하는; 관련된
concert,콘서트; 협조
conclude,결론을 내리다; 끝내다
conclusion,결론
concrete,구체적인; 콘크리트
condemn,비난하다; 규탄하다
condense,농축하다; 요약하다
conditioner,컨디셔너; 조절 장치
conduct,행동; 수행하다; 전도하다
confer,수여하다; 협의하다
confession,고백; 자백
confide,털어놓다; 신뢰하다
confine,제한하다; 가두다
confirm,확인하다
confirmation,확인
confiscate,몰수하다
confront,직면하다
confuse,혼란시키다
congestion,교통 체증; 혼잡
congratulate,축하하다
congregation,회중; 신도 집단
conjunction,접속사; 결합
connectivity,연결성
conquer,정복하다
conscience,양심
conscious,의식하는; 의도적인
consecutive,연속적인
consent,동의; 동의하다
conservation,보존; 보호
conserve,보존하다; 아끼다
considerable,상당한
consideration,고려; 숙고
consignment,탁송품; 배송
consistent,일관된
console,위로하다; 콘솔
consolidate,강화하다; 통합하다
consonant,자음
conspiracy,음모; 모의
constant,끊임없는; 일정한
constituent,구성 요소; 유권자
constitute,구성하다; 설립하다
constraint,제약; 제한
construct,건설하다; 구성하다
consult,상담하다; 참고하다
consultant,상담가; 자문가
consumption,소비
contain,포함하다; 억누르다
contaminate,오염시키다
contemplate,숙고하다; 명상하다
contemporary,현대의; 동시대의
contempt,경멸; 멸시
contend,주장하다; 경쟁하다
content,내용; 만족하는
continental,대륙의
continuity,연속성
continually,지속적으로; 자주
contractor,계약자; 하청업자
contradict,모순되다; 반박하다
contrary,반대의
contrast,대조하다; 대비
contribute,기여하다
contribution,기부; 기여
controversial,논란의 여지가 있는
controversy,논쟁
convenience,편리함
convention,관례; 대회; 협약
conventional,전통적인; 일반적인
conversation,대화
conversion,전환; 변환
convertible,전환 가능한; 컨버터블 자동차
convey,전달하다; 운반하다
convict,유죄 판결을 내리다; 죄인
conviction,유죄 판결; 신념
convince,납득시키다; 설득하다
convinced,확신하는
cookbook,요리책
cooperate,협력하다
coordinate,조정하다; 좌표
coordination,조직화; 조정
cop,경찰관
cope,대처하다; 맞서다
copper,구리
cord,끈; 코드
corn,옥수수
coronation,대관식
corporal,신체의; 상등병
corporate,기업의
corporation,기업; 법인
correlate,연관시키다; 상관이 있다
correspond,일치하다; 대응하다
corrupt,부패한; 타락시키다
cosmetics,화장품
cosmic,우주의
cosmos,우주; 코스모스
costly,값비싼
cottage,오두막; 시골집
cotton,면; 목화
cough,기침하다; 기침
council,의회; 위원회
counsel,조언; 상담하다
counterpart,대응물; 상대방
countless,무수한
countrywide,전국적인
courageous,용감한
courtroom,법정
courtyard,안뜰; 마당
coverage,보도; 범위
coward,겁쟁이
cozy (cosy),아늑한
crab,게
cradle,요람; 어린 시절
craft,공예; 기술; 만들다
crane,기중기; 두루미
crash,충돌하다; 고장 나다; 충돌
crate,상자; 나무 궤짝
crawl,기어가다; 서행하다
craze,열풍; 대유행
cream,크림; 고급의
creamy,부드럽고 진한; 크림 같은
crease,주름; 구기다
create,창조하다; 만들다
creation,창조; 창작
creative,창의적인
creature,생물; 피조물
credential,신임장; 자격 증명
credible,믿을 만한
creep,살금살금 걷다; 소름끼치다
crest,벼슬; 정상; 꼭대기
crew,승무원; 팀
cricket,크리켓; 귀뚜라미
crisp,바삭바삭한; 상쾌한
criteria,기준(criterion의 복수)
critic,비평가; 비판자
critical,중요한; 비판적인
critique,비평; 평론
crooked,구부러진; 부정직한
crop,작물; 수확
crossing,횡단; 교차로
crouch,쭈그리다; 웅크리다
cruise,유람하다; 순항하다
crumb,부스러기; 작은 조각
crumble,부서지다; 허물어지다
crush,으깨다; 짓누르다; 반하다
crust,표면; 껍질
crystal,크리스털; 결정
cube,정육면체; 큐브
cucumber,오이
cuisine,요리; 요리법
cult,종교 집단; 추종
cultivate,경작하다; 기르다
cultivation,경작; 양성
culture,문화; 배양하다
cumulative,누적되는
cupboard,찬장; 벽장
curb,억제하다; 연석
curiosity,호기심
curious,호기심 많은; 이상한
curl,곱슬거리다; 말리다
currency,통화; 화폐
current,현재의; 흐름
curriculum,교육과정
curtain,커튼
curve,곡선; 구부리다
cushion,쿠션; 완화하다
custody,양육권; 구류
custom,관습; 세관
customary,관례적인; 보통의
customer,고객
cutting,절단; 잘라낸 조각
cyclone,사이클론; 회오리바람
cylinder,원통; 실린더
cynical,냉소적인
cypress,사이프러스 나무
dairy,유제품의; 낙농장
damp,축축한
dancer,무용수
dandruff,비듬
dangerous,위험한
dare,감히 ~하다; 도전
darling,자기야; 귀여운 사람
dart,화살; 쏘다; 돌진하다
dash,돌진하다; 대시; 급히 쓰다
database,데이터베이스
daytime,낮; 주간
dazzle,눈부시게 하다; 매료시키다
deadly,치명적인
deaf,청각장애의; 귀머거리의
deal,거래; 다루다
dealer,상인; 딜러
deane,학장(dean의 변형)
debris,잔해; 파편
debt,빚; 부채
debug,디버그하다; 오류를 잡다
debut,데뷔; 첫 출연
decay,부패; 쇠퇴
deceive,속이다; 기만하다
December,12월
decent,점잖은; 괜찮은
deception,속임수; 기만
declare,선언하다
decline,감소하다; 거절하다
decode,해독하다
decorate,장식하다
decoration,장식; 꾸밈
decorative,장식적인
decrease,감소하다
dedicate,헌신하다; 바치다
deduction,추론; 공제
deed,행위; 업적
deem,간주하다; 생각하다
deer,사슴
defect,결함; 탈주하다
defend,방어하다; 옹호하다
defender,수비수; 방어자
deficiency,부족; 결핍
deficit,적자; 부족
deflate,수축시키다; 기를 꺾다
deflect,방향을 바꾸다
defy,반항하다; 무시하다
degrade,비하하다; 저하시키다
dehydration,탈수
deity,신; 여신
delay,지연; 연기하다
delegate,대표자; 위임하다
delegation,대표단; 위임
delete,삭제하다
deliberate,신중한; 고의적인; 숙고하다
delicate,섬세한; 민감한
delicious,맛있는
delight,기쁨; 기쁘게 하다
delightful,즐거운; 기분 좋은
delinquent,비행의; 범죄자
deliver,배달하다; 연설하다; 출산하다
delivery,배달; 분만
demand,요구하다; 수요
democracy,민주주의
democratic,민주적인
demographic,인구 통계의
demolish,철거하다; 파괴하다
demon,악마; 귀신
denial,부정; 거부
denote,나타내다; 의미하다
dense,빽빽한; 밀집한
density,밀도
dent,찌그러진 곳; 움푹 들어가게 하다
dental,치과의
deny,부인하다; 거절하다
depart,출발하다
departure,출발; 출국
dependence,의존
dependent,의존적인
depict,묘사하다
deployment,배치; 전개
deposit,예금하다; 보증금
depress,우울하게 하다; 누르다
depression,우울증; 불황
deprive,빼앗다
deputy,대리인; 부~
derive,유래하다; 끌어내다
descend,내려가다; 하강하다
descent,하강; 혈통
describe,묘사하다
description,설명; 묘사
desert,사막; 버리다
deserve,~할 가치가 있다
designate,지정하다; 지명하다
desirable,바람직한; 원하는
despair,절망; 절망하다
desperate,절망적인; 필사적인
despise,경멸하다; 얕보다
destination,목적지; 도착지
destiny,운명
detach,분리하다; 떼다
detain,구금하다; 붙잡다
detect,감지하다; 발견하다
detection,탐지; 발견
detective,형사; 탐정
deter,단념시키다; 막다
detergent,세제
deteriorate,악화되다
determine,결정하다; 알아내다
determination,결심; 결정
detonate,폭발시키다
detrimental,해로운
devastate,황폐시키다; 파괴하다
developing,개발도상국의; 발전 중인
deviate,벗어나다; 일탈하다
device,장치; 기기
devise,고안하다; 발명하다
devote,헌신하다; 바치다
devoted,헌신적인
devotion,헌신; 애정
diagnose,진단하다
diagnosis,진단
diagram,도표; 도식
dialect,방언; 사투리
dialogue (dialog),대화
diameter,지름
dictate,지시하다; 받아쓰게 하다
dictation,받아쓰기
differ,다르다; 의견이 다르다
differentiate,구별하다; 차별화하다
diffuse,확산시키다; 퍼뜨리다
digest,소화하다; 요약하다
digestive,소화의
digit,숫자; 손가락 또는 발가락
dignity,존엄; 위엄
diligent,근면한; 성실한
dilute,희석하다
dim,흐릿한; 어두운
dimension,차원; 크기; 규모
diminish,줄어들다; 감소하다
dine,식사하다
diploma,졸업장; 자격증
diplomatic,외교의; 외교적인
directory,명부; 디렉토리
disable,무능하게 하다; 장애를 입히다
disappoint,실망시키다
disappointment,실망
disaster,재난; 참사
disastrous,재앙의; 끔찍한
discharge,배출하다; 방출하다; 퇴원시키다
discipline,규율; 훈육하다
disclose,밝히다; 공개하다
discomfort,불편; 불쾌감
disconnect,연결을 끊다
discount,할인; 할인하다
discourage,낙담시키다; 억누르다
discourse,담론; 이야기
discover,발견하다
discreet,신중한; 조심스러운
discrepancy,불일치; 모순
discretion,재량; 신중함
discriminate,차별하다; 구별하다
discuss,토론하다; 논의하다
disgust,역겨움; 혐오하게 하다
dishonest,정직하지 않은
dismantle,해체하다
dismay,당황; 실망하게 하다
dismiss,해고하다; 묵살하다
disorder,장애; 무질서
disperse,흩어지다; 분산시키다
displace,대체하다; 옮기다
display,전시하다; 화면
displease,불쾌하게 하다
disposal,처분; 처리
dispose,처분하다; 배치하다
disregard,무시하다; 소홀히 하다
disrupt,방해하다; 붕괴시키다
dissection,해부
dissolve,녹이다; 용해하다; 해산하다
distant,먼; 떨어진
distill,증류하다
distinct,뚜렷한; 별개의
distinction,구별; 차별; 명예
